Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
342,0.04788,-0.000116381,1.45639e-05,-6.18379e-06,5.3861e-05,-0.000160657,0.000169558,3.96851e-06,3.55352e-05,-0.160007,0,-0.02212,1,1.00024,1.55728e-06,1.53302e-06,-3.09029e-06,-1.22409e-09,1.46645e-06,-9.28771e-09,4.05903e-06,1.20118e-07,0.00252572,1.25673e-05,0.0609624,1.39685e-05,3.96851e-06,8.8206e-06,8.81368e-06,7.50022e-06,-3.63653e-10,4.10013e-07,-2.64767e-09,1.4557e-05,-2.01636e-06,0.00121847,1.14598,1.14599,1
343,0.04802,-0.000116597,1.45587e-05,-6.45023e-06,5.30831e-05,-0.000160644,0.00016931,3.97701e-06,3.55558e-05,-0.160007,0,-0.02198,1,1.00024,1.55815e-06,1.53398e-06,-3.09213e-06,-1.24383e-09,1.4573e-06,-9.27343e-09,4.05783e-06,1.20035e-07,0.00252529,1.25627e-05,0.0609714,1.3977e-05,3.97701e-06,8.81848e-06,8.81159e-06,7.49531e-06,-3.69775e-10,4.07962e-07,-2.6474e-09,1.45518e-05,-2.0061e-06,0.00121086,1.14597,1.14597,1
344,0.04816,-0.000116813,1.45535e-05,-6.71667e-06,5.23052e-05,-0.000160631,0.000169066,3.98552e-06,3.55764e-05,-0.160007,0,-0.02184,1,1.00024,1.55902e-06,1.53495e-06,-3.09397e-06,-1.26357e-09,1.44816e-06,-9.25915e-09,4.05666e-06,1.19953e-07,0.00252486,1.25581e-05,0.0609804,1.39855e-05,3.98552e-06,8.81636e-06,8.80949e-06,7.4904e-06,-3.75898e-10,4.05911e-07,-2.64712e-09,1.45467e-05,-1.99585e-06,0.00120324,1.14596,1.14596,1
345,0.0483,-0.00011703,1.45484e-05,-6.98311e-06,5.15273e-05,-0.000160618,0.000168825,3.99403e-06,3.55969e-05,-0.160007,0,-0.0217,1,1.00024,1.55989e-06,1.53592e-06,-3.09581e-06,-1.28331e-09,1.43902e-06,-9.24487e-09,4.05552e-06,1.1987e-07,0.00252443,1.25536e-05,0.0609893,1.3994e-05,3.99403e-06,8.81424e-06,8.80739e-06,7.48548e-06,-3.8202e-10,4.0386e-07,-2.64684e-09,1.45415e-05,-1.98559e-06,0.00119563,1.14595,1.14595,1
346,0.04844,-0.000117246,1.45432e-05,-7.24955e-06,5.07494e-05,-0.000160605,0.000168588,4.00253e-06,3.56175e-05,-0.160007,0,-0.02156,1,1.00023,1.56076e-06,1.53689e-06,-3.09765e-06,-1.30304e-09,1.42987e-06,-9.23059e-09,4.05439e-06,1.19787e-07,0.002524,1.2549e-05,0.0609983,1.40025e-05,4.00253e-06,8.81213e-06,8.8053e-06,7.48057e-06,-3.88143e-10,4.01809e-07,-2.64657e-09,1.45364e-05,-1.97534e-06,0.00118801,1.14593,1.14593,1
347,0.04858,-0.000117462,1.4538e-05,-7.51598e-06,4.99715e-05,-0.000160592,0.000168355,4.01104e-06,3.56381e-05,-0.160007,0,-0.02142,1,1.00023,1.56163e-06,1.53786e-06,-3.09949e-06,-1.32278e-09,1.42073e-06,-9.21631e-09,4.05328e-06,1.19705e-07,0.00252357,1.25444e-05,0.0610073,1.4011e-05,4.01104e-06,8.81001e-06,8.8032e-06,7.47566e-06,-3.94266e-10,3.99758e-07,-2.64629e-09,1.45313e-05,-1.96508e-06,0.0011804,1.14592,1.14592,1
348,0.04872,-0.000117678,1.45328e-05,-7.78242e-06,4.91936e-05,-0.000160579,0.000168125,4.01955e-06,3.56587e-05,-0.160007,0,-0.02128,1,1.00023,1.5625e-06,1.53883e-06,-3.10133e-06,-1.34252e-09,1.41158e-06,-9.20203e-09,4.0522e-06,1.19622e-07,0.00252314,1.25399e-05,0.0610163,1.40195e-05,4.01955e-06,8.80789e-06,8.80111e-06,7.47074e-06,-4.00388e-10,3.97707e-07,-2.64601e-09,1.45261e-05,-1.95483e-06,0.00117278,1.14591,1.14591,1
349,0.04886,-0.000117895,1.45276e-05,-8.04886e-06,4.84157e-05,-0.000160566,0.0001679,4.02805e-06,3.56793e-05,-0.160006,0,-0.02114,1,1.00022,1.56338e-06,1.5398e-06,-3.10317e-06,-1.36226e-09,1.40244e-06,-9.18775e-09,4.05114e-06,1.19539e-07,0.00252271,1.25353e-05,0.0610253,1.4028e-05,4.02805e-06,8.80577e-06,8.79901e-06,7.46583e-06,-4.06511e-10,3.95657e-07,-2.64573e-09,1.4521e-05,-1.94457e-06,0.00116516,1.14589,1.14589,1
350,0.049,-0.000118111,1.45224e-05,-8.3153e-06,4.76378e-05,-0.000160553,0.000167678,4.03656e-06,3.56998e-05,-0.160006,0,-0.021,1,1.00022,1.56425e-06,1.54077e-06,-3.10501e-06,-1.382e-09,1.39329e-06,-9.17347e-09,4.0501e-06,1.19457e-07,0.00252228,1.25307e-05,0.0610343,1.40366e-05,4.03656e-06,8.80365e-06,8.79691e-06,7.46092e-06,-4.12633e-10,3.93606e-07,-2.64546e-09,1.45159e-05,-1.93432e-06,0.00115755,1.14588,1.14588,1
351,0.04914,-0.000118327,1.45173e-05,-8.58174e-06,4.68599e-05,-0.00016054,0.000167459,4.04507e-06,3.57204e-05,-0.160006,0,-0.02086,1,1.00022,1.56512e-06,1.54174e-06,-3.10685e-06,-1.40173e-09,1.38415e-06,-9.15919e-09,4.04908e-06,1.19374e-07,0.00252185,1.25262e-05,0.0610433,1.40451e-05,4.04507e-06,8.80153e-06,8.79482e-06,7.456e-06,-4.18756e-10,3.91555e-07,-2.64518e-09,1.45107e-05,-1.92406e-06,0.00114993,1.14587,1.14587,1
