Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nu,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
31,0.00434,-5.97629e-09,0,-2.19867e-06,1.27875e-07,-1.02205e-05,1.04551e-05,0.00549235,0,0,9.16457,0,-0.06566,1,1.00215,-7.05295e-09,-5.10197e-08,5.80726e-08,2.09379e-07,-0.297593,2.78155e-08,0.297593,0,0,0,0,0.00549235,0,0,0,0,0,0,0,0,-1.48775e-07,1.15543e-08,0.242167,0.242167,1
32,0.00448,-6.1837e-09,0,-2.26769e-06,1.39044e-07,-1.05398e-05,1.07819e-05,0.00549463,0,0,9.16457,0,-0.06552,1,1.00214,-7.30975e-09,-5.2634e-08,5.99437e-08,2.10502e-07,-0.296894,2.9554e-08,0.296894,0,0,0,0,0.00549463,0,0,0,0,0,0,0,0,-1.539e-07,1.22085e-08,0.249681,0.249681,1
33,0.00462,-6.39112e-09,0,-2.33671e-06,1.50214e-07,-1.08591e-05,1.11086e-05,0.00549691,0,0,9.16457,0,-0.06538,1,1.00214,-7.56657e-09,-5.42484e-08,6.1815e-08,2.11626e-07,-0.296196,3.12925e-08,0.296196,0,0,0,0,0.00549691,0,0,0,0,0,0,0,0,-1.59025e-07,1.28627e-08,0.257196,0.257196,1
34,0.00476,-6.59853e-09,0,-2.40573e-06,1.61383e-07,-1.11783e-05,1.14354e-05,0.00549919,0,0,9.16457,0,-0.06524,1,1.00213,-7.82337e-09,-5.58627e-08,6.36861e-08,2.1275e-07,-0.295498,3.30309e-08,0.295498,0,0,0,0,0.00549919,0,0,0,0,0,0,0,0,-1.64151e-07,1.35168e-08,0.26471,0.26471,1
35,0.0049,-6.80595e-09,0,-2.47476e-06,1.72553e-07,-1.14976e-05,1.17622e-05,0.00550146,0,0,9.16457,0,-0.0651,1,1.00212,-8.08018e-09,-5.74771e-08,6.55573e-08,2.13874e-07,-0.2948,3.47694e-08,0.2948,0,0,0,0,0.00550146,0,0,0,0,0,0,0,0,-1.69276e-07,1.4171e-08,0.272225,0.272225,1
36,0.00504,-7.01336e-09,0,-2.54378e-06,1.83722e-07,-1.18169e-05,1.2089e-05,0.00550374,0,0,9.16457,0,-0.06496,1,1.00211,-8.33699e-09,-5.90915e-08,6.74284e-08,2.14998e-07,-0.294102,3.65078e-08,0.294102,0,0,0,0,0.00550374,0,0,0,0,0,0,0,0,-1.74401e-07,1.48251e-08,0.279739,0.279739,1
37,0.00518,-7.22078e-09,0,-2.6128e-06,1.94892e-07,-1.21361e-05,1.24157e-05,0.00550602,0,0,9.16457,0,-0.06482,1,1.0021,-8.5938e-09,-6.07059e-08,6.92996e-08,2.16122e-07,-0.293404,3.82464e-08,0.293404,0,0,0,0,0.00550602,0,0,0,0,0,0,0,0,-1.79527e-07,1.54793e-08,0.287254,0.287254,1
38,0.00532,-7.42819e-09,0,-2.68182e-06,2.06061e-07,-1.24554e-05,1.27425e-05,0.0055083,0,0,9.16457,0,-0.06468,1,1.00209,-8.8506e-09,-6.23202e-08,7.11708e-08,2.17246e-07,-0.292706,3.99848e-08,0.292706,0,0,0,0,0.0055083,0,0,0,0,0,0,0,0,-1.84652e-07,1.61335e-08,0.294769,0.294769,1
39,0.00546,-7.63561e-09,0,-2.75084e-06,2.17231e-07,-1.27747e-05,1.30693e-05,0.00551058,0,0,9.16457,0,-0.06454,1,1.00208,-9.10741e-09,-6.39346e-08,7.3042e-08,2.1837e-07,-0.292008,4.17233e-08,0.292008,0,0,0,0,0.00551058,0,0,0,0,0,0,0,0,-1.89778e-07,1.67876e-08,0.302284,0.302284,1
40,0.0056,-7.84302e-09,0,-2.81986e-06,2.284e-07,-1.3094e-05,1.33961e-05,0.00551285,0,0,9.16457,0,-0.0644,1,1.00207,-9.36422e-09,-6.55489e-08,7.49131e-08,2.19493e-07,-0.29131,4.34617e-08,0.29131,0,0,0,0,0.00551285,0,0,0,0,0,0,0,0,-1.94903e-07,1.74418e-08,0.309798,0.309798,1
41,0.00574,-8.05044e-09,0,-2.88889e-06,2.3957e-07,-1.34132e-05,1.37229e-05,0.00551513,0,0,9.16457,0,-0.06426,1,1.00206,-9.62103e-09,-6.71633e-08,7.67843e-08,2.20617e-07,-0.290612,4.52002e-08,0.290612,0,0,0,0,0.00551513,0,0,0,0,0,0,0,0,-2.00028e-07,1.8096e-08,0.317313,0.317313,1
42,0.00588,-8.25785e-09,0,-2.95791e-06,2.50739e-07,-1.37325e-05,1.40497e-05,0.00551741,0,0,9.16457,0,-0.06412,1,1.00205,-9.87783e-09,-6.87776e-08,7.86555e-08,2.21741e-07,-0.289914,4.69387e-08,0.289914,0,0,0,0,0.00551741,0,0,0,0,0,0,0,0,-2.05154e-07,1.87501e-08,0.324827,0.324827,1
